Acc_X_1,Acc_Y_1,Acc_Z_1,Gyro_X_1,Gyro_Y_1,Gyro_Z_1,Mag_X_1,Mag_Y_1,Mag_Z_1,Acc_X_2,Acc_Y_2,Acc_Z_2,Gyro_X_2,Gyro_Y_2,Gyro_Z_2,Mag_X_2,Mag_Y_2,Mag_Z_2,Acc_X_3,Acc_Y_3,Acc_Z_3,Gyro_X_3,Gyro_Y_3,Gyro_Z_3
568.0,-16384.0,144.0,256.0,-4032.0,-1272.0,128.0,-174.0,34.0,3440.0,-14536.0,-7672.0,665.0,-1596.0,-1036.0,-36.0,-171.0,40.0,-0.82,9.81,0.51,-0.07,0.22,-0.0
96.0,-16376.0,264.0,520.0,-795.0,516.0,132.0,-168.0,40.0,3096.0,-14544.0,-7072.0,319.0,-250.0,-258.0,-42.0,-164.0,46.0,-0.68,9.83,0.29,-0.04,-0.02,0.02
4416.0,-16368.0,-0.0,113.0,-1722.0,-0.0,138.0,-192.0,40.0,4256.0,-14000.0,-7392.0,161.0,-654.0,-308.0,-44.0,-167.0,46.0,-0.16,9.74,0.38,-0.09,0.21,0.01
3112.0,-16256.0,664.0,5.0,-1504.0,-248.0,132.0,-185.0,50.0,3312.0,-14616.0,-7272.0,122.0,75.0,-341.0,-47.0,-167.0,41.0,-0.62,9.73,0.14,-0.05,0.0,-0.03
1056.0,-31224.0,32.0,-896.0,-1007.0,-511.0,128.0,-164.0,44.0,3368.0,-14640.0,-6704.0,-174.0,-530.0,-673.0,-43.0,-161.0,50.0,-0.84,9.72,0.37,-0.11,0.11,0.02
512.0,-16384.0,128.0,20.0,-1792.0,-797.0,128.0,-189.0,41.0,2416.0,-14424.0,-7384.0,644.0,-1119.0,85.0,-48.0,-168.0,50.0,-0.84,9.75,0.48,-0.09,0.01,0.07
280.0,-16344.0,2192.0,2.0,356.0,136.0,144.0,-174.0,38.0,3632.0,-14216.0,-8320.0,186.0,-402.0,-68.0,-46.0,-166.0,52.0,0.1,9.78,0.71,-0.06,-0.05,0.04
272.0,-16064.0,2080.0,24.0,150.0,9.0,132.0,-192.0,51.0,3744.0,-14000.0,-8864.0,278.0,351.0,-96.0,-44.0,-162.0,44.0,0.4,9.83,0.67,-0.02,-0.0,-0.09
1040.0,-30944.0,592.0,-700.0,2.0,-1276.0,128.0,-168.0,6.0,3264.0,-14832.0,-6464.0,-596.0,926.0,-109.0,-44.0,-164.0,46.0,-1.03,9.73,0.26,-0.05,0.05,-0.1
1024.0,-31488.0,240.0,195.0,-160.0,-504.0,130.0,-189.0,2.0,3536.0,-14656.0,-6608.0,35.0,-50.0,-3.0,-47.0,-157.0,39.0,-0.62,9.74,0.2,-0.07,0.06,0.0
