Acc_X_1,Acc_Y_1,Acc_Z_1,Gyro_X_1,Gyro_Y_1,Gyro_Z_1,Mag_X_1,Mag_Y_1,Mag_Z_1,Acc_X_2,Acc_Y_2,Acc_Z_2,Gyro_X_2,Gyro_Y_2,Gyro_Z_2,Mag_X_2,Mag_Y_2,Mag_Z_2,Acc_X_3,Acc_Y_3,Acc_Z_3,Gyro_X_3,Gyro_Y_3,Gyro_Z_3
6560.0,-16320.0,-8016.0,1546.0,672.0,-3888.0,-0.0,-0.0,-0.0,7032.0,-14936.0,-7112.0,1706.0,-6097.0,-4453.0,-12.0,-110.0,7.0,-2.53,9.96,-1.91,-0.72,0.86,-0.0
192.0,-16288.0,-6080.0,550.0,1286.0,-8140.0,-0.0,-0.0,-0.0,4128.0,-15328.0,-4720.0,2472.0,-9285.0,-8714.0,-33.0,-110.0,21.0,-3.89,8.91,0.25,-1.16,1.15,0.04
-0.0,-16384.0,-4592.0,2.0,-13636.0,-8080.0,-0.0,-0.0,-0.0,-2928.0,-15440.0,-5416.0,3810.0,-13476.0,-6696.0,-53.0,-115.0,23.0,-4.04,7.5,3.19,-1.07,1.28,0.11
-8240.0,-32232.0,32.0,1813.0,-8192.0,4.0,-0.0,-0.0,-0.0,-9048.0,-15360.0,-9728.0,1566.0,-6019.0,-2027.0,-82.0,-118.0,33.0,-4.7,7.68,5.5,-0.35,0.29,-0.02
-6872.0,-32704.0,144.0,-2030.0,6784.0,320.0,-0.0,-0.0,-0.0,-5344.0,-16560.0,-10136.0,-1215.0,8326.0,5662.0,-84.0,-130.0,19.0,-3.55,9.11,3.96,0.72,-1.14,-0.15
528.0,-16368.0,-6136.0,65.0,792.0,845.0,-0.0,-0.0,-0.0,144.0,-15328.0,-5392.0,-3545.0,12760.0,7311.0,-59.0,-122.0,22.0,-3.65,8.69,1.43,0.92,-0.97,-0.08
96.0,-31136.0,-5632.0,-3840.0,5.0,66.0,-0.0,-0.0,-0.0,3808.0,-14672.0,-4448.0,-1997.0,7129.0,6017.0,-29.0,-100.0,23.0,-3.97,8.31,-0.85,0.72,-0.66,-0.03
5504.0,-31456.0,-6624.0,516.0,4546.0,1024.0,-0.0,-0.0,-0.0,7000.0,-14744.0,-6704.0,-2.0,2727.0,2872.0,-25.0,-106.0,1.0,-2.06,9.98,-1.15,0.24,-0.35,0.04
8192.0,-15872.0,-6144.0,327.0,264.0,-3008.0,-0.0,-0.0,-0.0,7400.0,-13920.0,-5480.0,1461.0,-4131.0,-3325.0,-16.0,-113.0,7.0,-2.33,8.79,-2.46,-0.64,0.92,-0.06
40.0,-32752.0,-7680.0,514.0,2376.0,-7770.0,-0.0,-0.0,-0.0,4312.0,-15928.0,-6376.0,2080.0,-8370.0,-6798.0,-29.0,-105.0,21.0,-2.84,9.65,0.6,-0.99,0.53,-0.04
-0.0,-32480.0,-7040.0,323.0,-12248.0,-8062.0,-0.0,-0.0,-0.0,-1384.0,-15848.0,-6496.0,2436.0,-13032.0,-6379.0,-54.0,-114.0,15.0,-4.0,7.85,2.77,-1.1,1.44,0.07
-0.0,-32768.0,256.0,513.0,-7944.0,-3071.0,-0.0,-0.0,-0.0,-10392.0,-15240.0,-8672.0,1694.0,-6160.0,-1995.0,-77.0,-120.0,19.0,-5.39,6.63,4.35,-0.09,0.13,0.06
-7928.0,-17392.0,-9488.0,-2044.0,10884.0,208.0,-0.0,-0.0,-0.0,-5960.0,-17560.0,-8632.0,-2278.0,11597.0,4477.0,-69.0,-122.0,15.0,-3.04,8.85,5.15,0.73,-1.3,-0.11
1040.0,-32112.0,-5992.0,-3956.0,576.0,1025.0,-0.0,-0.0,-0.0,1352.0,-15240.0,-4056.0,-3422.0,11631.0,7749.0,-50.0,-105.0,23.0,-3.7,8.43,0.52,0.82,-0.83,-0.06
128.0,-31424.0,-5632.0,-2323.0,32.0,177.0,-0.0,-0.0,-0.0,3912.0,-14960.0,-4472.0,-1599.0,8592.0,5699.0,-26.0,-100.0,11.0,-4.01,8.67,-1.23,0.8,-1.04,0.09
5128.0,-16352.0,-7936.0,785.0,2064.0,2195.0,-0.0,-0.0,-0.0,7752.0,-14216.0,-6088.0,912.0,2528.0,2518.0,-15.0,-104.0,8.0,-1.99,9.71,-1.33,0.07,-0.3,-0.02
5888.0,-16288.0,-6008.0,-0.0,-0.0,-2015.0,-0.0,-0.0,-0.0,5496.0,-14104.0,-6280.0,2095.0,-3903.0,-2097.0,-16.0,-110.0,7.0,-2.5,9.28,-1.72,-0.42,0.5,-0.02
6144.0,-32768.0,-7424.0,2820.0,704.0,-5096.0,-0.0,-0.0,-0.0,8056.0,-16976.0,-6760.0,2686.0,-5655.0,-5866.0,-25.0,-119.0,10.0,-1.72,12.04,-0.01,-1.05,0.69,0.02
1136.0,-16048.0,-5504.0,1254.0,2161.0,-6896.0,-0.0,-0.0,-0.0,912.0,-15952.0,-4912.0,1843.0,-13413.0,-11061.0,-41.0,-115.0,19.0,-3.87,8.39,1.99,-1.6,1.97,0.12
1056.0,-31600.0,-6008.0,194.0,-21424.0,-7678.0,-0.0,-0.0,-0.0,-5144.0,-15536.0,-7224.0,888.0,-15945.0,-5849.0,-69.0,-116.0,29.0,-4.8,6.75,3.84,-0.85,1.24,0.06
-14336.0,-32720.0,128.0,660.0,140.0,66.0,-0.0,-0.0,-0.0,-12872.0,-16632.0,-10792.0,-1891.0,5579.0,3108.0,-81.0,-124.0,34.0,-5.57,7.67,5.83,0.88,-1.21,-0.05
-5848.0,-32440.0,-6624.0,-6275.0,16962.0,5.0,-0.0,-0.0,-0.0,-3856.0,-16760.0,-6024.0,-3266.0,18111.0,10280.0,-55.0,-118.0,7.0,-4.78,8.83,2.5,1.54,-1.91,-0.09
256.0,-16384.0,-3552.0,-6656.0,257.0,2.0,-0.0,-0.0,-0.0,5288.0,-16248.0,-2288.0,-3463.0,15299.0,9636.0,-30.0,-94.0,8.0,-3.49,8.37,-0.25,1.24,-1.54,-0.06
14472.0,-30152.0,-3568.0,790.0,4492.0,16.0,-0.0,-0.0,-0.0,14656.0,-13400.0,-2008.0,-557.0,2872.0,3346.0,-14.0,-100.0,-2.0,-1.44,9.05,-4.07,-0.14,-0.06,-0.1
10240.0,-32752.0,-8032.0,1042.0,72.0,-4031.0,-0.0,-0.0,-0.0,11336.0,-16744.0,-7512.0,3397.0,-8599.0,-5466.0,-18.0,-101.0,3.0,-2.08,11.09,-3.61,-0.84,0.91,0.05
1040.0,-16256.0,-3960.0,51.0,4.0,-11728.0,-0.0,-0.0,-0.0,2800.0,-15544.0,-3824.0,1700.0,-14426.0,-12009.0,-36.0,-105.0,7.0,-4.69,8.1,0.2,-1.54,1.59,0.04
640.0,-31968.0,-5104.0,3596.0,-16208.0,-12016.0,-0.0,-0.0,-0.0,-4128.0,-15992.0,-4984.0,4403.0,-14832.0,-8900.0,-60.0,-108.0,21.0,-4.71,6.78,3.95,-1.33,1.71,0.19
-11192.0,-32704.0,192.0,589.0,-10748.0,-3502.0,-0.0,-0.0,-0.0,-11280.0,-15496.0,-9600.0,3087.0,-8749.0,-1998.0,-79.0,-125.0,26.0,-5.65,7.27,6.2,-0.51,0.58,0.04
-12288.0,-17344.0,72.0,-4096.0,4.0,226.0,-0.0,-0.0,-0.0,-11136.0,-17224.0,-11048.0,-2011.0,11556.0,7697.0,-90.0,-116.0,27.0,-4.46,8.36,4.62,1.07,-1.79,-0.17
-1224.0,-31744.0,16.0,-5296.0,21028.0,2568.0,-0.0,-0.0,-0.0,-40.0,-17504.0,-4128.0,-6850.0,21322.0,10583.0,-59.0,-106.0,19.0,-3.53,8.58,1.42,1.5,-2.01,-0.1
4632.0,-32688.0,-6104.0,-5980.0,260.0,576.0,-0.0,-0.0,-0.0,7088.0,-15152.0,-2304.0,-3783.0,11923.0,8517.0,-21.0,-100.0,14.0,-4.17,9.16,-2.09,0.95,-0.98,-0.06
10496.0,-30448.0,-7024.0,9.0,1152.0,576.0,-0.0,-0.0,-0.0,10944.0,-13944.0,-5104.0,-134.0,-1705.0,2188.0,-3.0,-96.0,3.0,-1.1,9.36,-3.78,0.02,0.21,0.07
9056.0,-31552.0,-8128.0,2105.0,8.0,-5052.0,-0.0,-0.0,-0.0,8504.0,-15008.0,-7056.0,1991.0,-6771.0,-6112.0,-21.0,-110.0,2.0,-1.42,10.64,-1.67,-0.86,0.96,-0.0
96.0,-32768.0,-5624.0,1024.0,3265.0,-11776.0,-0.0,-0.0,-0.0,2272.0,-15632.0,-4504.0,3010.0,-12441.0,-10308.0,-37.0,-101.0,15.0,-4.33,8.86,-0.1,-1.35,1.38,0.01
64.0,-15808.0,-5072.0,3154.0,-12278.0,-12119.0,-0.0,-0.0,-0.0,-1968.0,-15648.0,-4888.0,2933.0,-13017.0,-8868.0,-59.0,-106.0,15.0,-3.92,7.09,3.35,-1.23,1.54,0.17
-8176.0,-32192.0,64.0,2561.0,-14320.0,-4840.0,-0.0,-0.0,-0.0,-9080.0,-15720.0,-8440.0,3267.0,-10935.0,-3552.0,-79.0,-120.0,33.0,-5.58,7.16,5.78,-0.61,0.76,0.07
-13248.0,-17336.0,32.0,490.0,132.0,641.0,-0.0,-0.0,-0.0,-11136.0,-17056.0,-11376.0,-687.0,8390.0,6382.0,-83.0,-134.0,20.0,-4.79,9.0,4.63,0.99,-1.63,-0.15
-2272.0,-32736.0,-8704.0,-7419.0,258.0,66.0,-0.0,-0.0,-0.0,-2824.0,-17512.0,-6328.0,-6089.0,21111.0,11097.0,-61.0,-114.0,10.0,-4.31,9.19,2.08,1.64,-1.86,-0.07
592.0,-15856.0,-1728.0,-6010.0,4.0,128.0,-0.0,-0.0,-0.0,5040.0,-15856.0,-1072.0,-4962.0,16643.0,8805.0,-30.0,-101.0,-1.0,-3.95,7.57,-0.82,1.22,-1.55,-0.0
