Acc_X_1,Acc_Y_1,Acc_Z_1,Gyro_X_1,Gyro_Y_1,Gyro_Z_1,Mag_X_1,Mag_Y_1,Mag_Z_1,Acc_X_2,Acc_Y_2,Acc_Z_2,Gyro_X_2,Gyro_Y_2,Gyro_Z_2,Mag_X_2,Mag_Y_2,Mag_Z_2,Acc_X_3,Acc_Y_3,Acc_Z_3,Gyro_X_3,Gyro_Y_3,Gyro_Z_3
5888.0,-15296.0,-16288.0,-244.0,-128.0,51.0,-0.0,-0.0,-0.0,-0.0,-7264.0,-14752.0,-123.0,211.0,-216.0,-12.0,-223.0,-66.0,-0.48,9.67,2.36,-0.06,0.02,0.02
208.0,-15360.0,-16216.0,-372.0,292.0,264.0,-0.0,-0.0,-0.0,424.0,-6968.0,-14664.0,203.0,599.0,-73.0,-9.0,-228.0,-71.0,-0.57,9.38,2.34,-0.04,-0.0,-0.0
288.0,-15328.0,-15224.0,-0.0,128.0,1.0,-0.0,-0.0,-0.0,416.0,-6888.0,-14800.0,-40.0,-271.0,524.0,-7.0,-233.0,-81.0,-0.56,9.46,2.1,-0.07,-0.01,-0.03
32.0,-15328.0,-15760.0,-0.0,-272.0,19.0,-0.0,-0.0,-0.0,384.0,-7232.0,-14888.0,146.0,-799.0,-126.0,-8.0,-235.0,-68.0,-0.56,9.55,2.27,-0.12,0.07,-0.02
5704.0,-16336.0,-16304.0,4.0,10.0,-0.0,-0.0,-0.0,-0.0,-288.0,-7360.0,-14624.0,-13.0,-71.0,-211.0,-14.0,-226.0,-62.0,-0.45,9.48,2.47,-0.12,0.1,-0.04
4608.0,-16312.0,-15712.0,-0.0,298.0,450.0,-0.0,-0.0,-0.0,-448.0,-7648.0,-14848.0,317.0,-541.0,-289.0,-16.0,-226.0,-50.0,-1.0,9.45,2.49,-0.08,0.06,-0.01
24.0,-16320.0,-15840.0,-428.0,64.0,544.0,-0.0,-0.0,-0.0,72.0,-7232.0,-14776.0,113.0,209.0,243.0,-4.0,-218.0,-62.0,-0.62,9.46,2.41,-0.05,0.02,-0.01
280.0,-15248.0,-15872.0,64.0,-0.0,8.0,-0.0,-0.0,-0.0,656.0,-7304.0,-14768.0,-26.0,109.0,151.0,-3.0,-220.0,-65.0,-0.68,9.51,2.21,-0.07,0.01,-0.01
112.0,-15376.0,-15840.0,32.0,-240.0,8.0,-0.0,-0.0,-0.0,96.0,-7112.0,-14736.0,-218.0,-349.0,240.0,-13.0,-227.0,-63.0,-0.8,9.5,2.31,-0.09,0.04,-0.0
5096.0,-16360.0,-15872.0,64.0,130.0,-62.0,-0.0,-0.0,-0.0,80.0,-7072.0,-14752.0,65.0,-289.0,-139.0,-2.0,-218.0,-57.0,-0.72,9.5,2.39,-0.09,0.04,0.0
5104.0,-16256.0,-15808.0,33.0,-190.0,-128.0,-0.0,-0.0,-0.0,56.0,-7440.0,-14792.0,-18.0,341.0,-170.0,-12.0,-228.0,-69.0,-0.67,9.5,2.41,-0.09,0.02,-0.0
5120.0,-16352.0,-15872.0,16.0,-127.0,-112.0,-0.0,-0.0,-0.0,-0.0,-7080.0,-14640.0,-299.0,-93.0,-272.0,-9.0,-218.0,-76.0,-0.77,9.46,2.4,-0.08,0.02,-0.0
-0.0,-16288.0,-15872.0,67.0,-123.0,-320.0,-0.0,-0.0,-0.0,-32.0,-7216.0,-14664.0,192.0,173.0,200.0,-9.0,-228.0,-64.0,-0.73,9.51,2.37,-0.07,0.02,0.01
-0.0,-16304.0,-16344.0,156.0,-61.0,-116.0,-0.0,-0.0,-0.0,152.0,-7048.0,-14696.0,-231.0,-345.0,36.0,-7.0,-216.0,-54.0,-0.74,9.5,2.34,-0.07,0.01,0.01
72.0,-16344.0,-15856.0,32.0,-0.0,200.0,-0.0,-0.0,-0.0,336.0,-7128.0,-14736.0,-4.0,218.0,-161.0,-8.0,-222.0,-65.0,-0.68,9.51,2.3,-0.08,0.03,0.01
72.0,-15360.0,-15776.0,57.0,-0.0,-246.0,-0.0,-0.0,-0.0,168.0,-7208.0,-14736.0,30.0,-77.0,-17.0,-3.0,-220.0,-68.0,0.74,10.16,3.41,-0.15,-0.06,0.16
288.0,-16304.0,-19440.0,-488.0,-960.0,256.0,-0.0,-0.0,-0.0,-11496.0,-8640.0,-15360.0,1408.0,3069.0,4046.0,-13.0,-225.0,-65.0,0.01,10.49,7.58,0.28,-1.15,-0.27
2048.0,-16192.0,-16248.0,-5864.0,672.0,1288.0,-0.0,-0.0,-0.0,-4048.0,-6080.0,-10136.0,-3971.0,10619.0,7829.0,9.0,-218.0,-76.0,-0.89,5.17,1.46,0.76,-1.48,0.13
64.0,-15216.0,-16016.0,275.0,95.0,266.0,-0.0,-0.0,-0.0,22976.0,-9968.0,-17040.0,-606.0,3286.0,3372.0,32.0,-227.0,-94.0,7.8,16.46,-7.57,-0.31,-0.07,0.19
64.0,-14832.0,-8064.0,2221.0,2388.0,-15099.0,-0.0,-0.0,-0.0,14744.0,-904.0,-4968.0,260.0,-11182.0,-13272.0,18.0,-230.0,-82.0,0.09,6.34,-2.06,-2.2,1.72,-0.07
4112.0,-28400.0,-8192.0,5302.0,-32255.0,-14331.0,-0.0,-0.0,-0.0,-7736.0,-14312.0,-9312.0,8439.0,-25900.0,-14690.0,-29.0,-213.0,-45.0,-3.65,6.89,7.74,-2.47,2.96,-0.29
-0.0,-16376.0,-20344.0,261.0,-4092.0,-4765.0,-0.0,-0.0,-0.0,-23984.0,-14664.0,-19368.0,-4200.0,-4247.0,1505.0,-52.0,-217.0,-58.0,-4.79,6.62,12.06,-0.08,0.02,-0.09
520.0,-16336.0,-15840.0,-8042.0,4448.0,2049.0,-0.0,-0.0,-0.0,-11176.0,-11592.0,-14360.0,-239.0,7397.0,11571.0,-39.0,-207.0,-51.0,-3.81,8.36,5.48,1.53,-1.45,0.13
4360.0,-16384.0,-14816.0,-11894.0,50.0,2442.0,-0.0,-0.0,-0.0,-1592.0,-7680.0,-6512.0,-4500.0,24447.0,12737.0,-14.0,-218.0,-64.0,-0.41,7.06,-0.76,2.45,-2.67,0.35
1088.0,-15832.0,-15856.0,-3560.0,2100.0,1027.0,-0.0,-0.0,-0.0,11128.0,-5432.0,-11176.0,-1383.0,14020.0,6950.0,16.0,-218.0,-90.0,1.37,11.08,-2.17,1.68,-1.8,0.38
32.0,-13816.0,-15744.0,-480.0,2516.0,184.0,-0.0,-0.0,-0.0,19624.0,-5528.0,-15920.0,867.0,1155.0,-1636.0,25.0,-227.0,-118.0,3.72,15.05,-3.33,-0.53,0.49,0.04
2056.0,-15872.0,-7520.0,2324.0,2601.0,-11886.0,-0.0,-0.0,-0.0,9408.0,-6224.0,-6544.0,4185.0,-19038.0,-11188.0,8.0,-227.0,-92.0,0.5,7.71,-1.62,-2.48,2.36,-0.2
2064.0,-15616.0,-12192.0,6265.0,-24576.0,-24062.0,-0.0,-0.0,-0.0,-6016.0,-11160.0,-9312.0,5887.0,-24096.0,-14007.0,-23.0,-210.0,-60.0,-2.16,7.63,5.31,-2.73,2.59,0.05
4224.0,-16120.0,-20352.0,2568.0,-9056.0,-12160.0,-0.0,-0.0,-0.0,-27784.0,-6808.0,-18400.0,2066.0,-3951.0,-5418.0,-41.0,-216.0,-57.0,-6.88,3.35,11.74,-0.79,0.95,0.05
72.0,-16120.0,-20224.0,-6128.0,8192.0,1096.0,-0.0,-0.0,-0.0,-13888.0,-12536.0,-16856.0,-3340.0,11876.0,10186.0,-39.0,-205.0,-44.0,-3.85,9.63,7.94,1.86,-1.56,0.03
6200.0,-15168.0,-13680.0,-7932.0,257.0,2592.0,-0.0,-0.0,-0.0,-5816.0,-8848.0,-6792.0,-4715.0,26925.0,15314.0,-24.0,-216.0,-52.0,-2.63,6.95,0.88,2.89,-3.22,0.23
3672.0,-16384.0,-8088.0,-3035.0,548.0,337.0,-0.0,-0.0,-0.0,13040.0,-6792.0,-9256.0,-1445.0,12751.0,8795.0,21.0,-216.0,-100.0,1.65,9.06,-2.66,1.38,-1.37,0.22
