Acc_X_1,Acc_Y_1,Acc_Z_1,Gyro_X_1,Gyro_Y_1,Gyro_Z_1,Mag_X_1,Mag_Y_1,Mag_Z_1,Acc_X_2,Acc_Y_2,Acc_Z_2,Gyro_X_2,Gyro_Y_2,Gyro_Z_2,Mag_X_2,Mag_Y_2,Mag_Z_2,Acc_X_3,Acc_Y_3,Acc_Z_3,Gyro_X_3,Gyro_Y_3,Gyro_Z_3
4096.0,-16352.0,-5080.0,280.0,8.0,45.0,-374.0,-492.0,8.0,4040.0,-15248.0,-4512.0,-246.0,-144.0,-333.0,-314.0,-306.0,-88.0,-0.69,9.54,-0.6,-0.05,0.04,0.04
4616.0,-31872.0,-5568.0,2.0,1730.0,-479.0,-375.0,-448.0,6.0,4232.0,-14704.0,-4728.0,107.0,402.0,542.0,-300.0,-294.0,-83.0,-0.43,9.79,-0.53,-0.04,0.04,-0.02
4496.0,-32128.0,-5560.0,640.0,1.0,288.0,-376.0,-490.0,36.0,3808.0,-15144.0,-4704.0,-211.0,794.0,377.0,-300.0,-296.0,-83.0,-0.95,9.65,-0.72,-0.04,-0.03,-0.08
2096.0,-32768.0,-4032.0,-0.0,512.0,131.0,-384.0,-488.0,8.0,3584.0,-15640.0,-4152.0,-1327.0,1223.0,243.0,-305.0,-311.0,-83.0,-1.26,9.7,-0.64,-0.03,-0.12,-0.05
4256.0,-32208.0,-5072.0,-639.0,1092.0,21.0,-380.0,-511.0,5.0,4392.0,-15248.0,-4912.0,-499.0,634.0,550.0,-306.0,-303.0,-89.0,-1.02,9.78,-0.61,-0.06,-0.12,-0.02
4648.0,-31672.0,-4576.0,64.0,1107.0,56.0,-376.0,-511.0,2.0,4592.0,-15368.0,-4584.0,7.0,1436.0,1027.0,-303.0,-308.0,-82.0,-1.12,9.63,-0.73,-0.07,-0.16,-0.02
4608.0,-32240.0,-3968.0,216.0,-0.0,64.0,-374.0,-503.0,20.0,4608.0,-15504.0,-3696.0,-108.0,827.0,386.0,-301.0,-303.0,-75.0,-0.92,9.76,-0.71,-0.09,-0.15,0.02
3376.0,-16216.0,-6104.0,20.0,4.0,72.0,-368.0,-510.0,8.0,4192.0,-14440.0,-6312.0,98.0,1549.0,589.0,-302.0,-314.0,-81.0,0.01,9.84,-0.19,-0.06,-0.21,-0.13
4384.0,-31200.0,8.0,-256.0,1792.0,1032.0,-380.0,-512.0,24.0,4432.0,-15040.0,-5136.0,-577.0,1930.0,730.0,-299.0,-313.0,-77.0,-0.97,9.59,-0.64,-0.09,-0.07,-0.33
768.0,-31352.0,-3072.0,116.0,809.0,264.0,-384.0,-508.0,-0.0,5048.0,-14864.0,-3032.0,1675.0,-444.0,710.0,-293.0,-319.0,-78.0,-2.15,9.56,-0.84,-0.03,0.08,-0.28
3400.0,-32736.0,-4080.0,2180.0,304.0,289.0,-376.0,-502.0,16.0,4032.0,-15928.0,-4216.0,2605.0,-579.0,781.0,-296.0,-310.0,-80.0,-1.85,9.93,-0.34,-0.12,0.1,-0.27
3648.0,-16368.0,16.0,4609.0,16.0,1313.0,-364.0,-510.0,2.0,4632.0,-13288.0,-10440.0,4643.0,-70.0,1847.0,-294.0,-315.0,-65.0,0.61,9.99,-0.18,-0.24,-0.13,-0.49
-0.0,-16384.0,-10824.0,8.0,7432.0,4708.0,-348.0,-512.0,65.0,2512.0,-13352.0,-9704.0,3208.0,7580.0,4779.0,-283.0,-319.0,-45.0,0.02,9.68,0.32,-0.03,-0.55,-1.39
784.0,-18304.0,-0.0,4746.0,10949.0,8528.0,-352.0,-511.0,89.0,2080.0,-21416.0,-5080.0,4863.0,11507.0,7839.0,-265.0,-330.0,-29.0,0.84,15.33,2.61,0.21,-1.13,-1.91
16.0,-31472.0,-7040.0,-7934.0,272.0,-2220.0,-352.0,-480.0,73.0,288.0,-20976.0,-4920.0,-9532.0,-7941.0,-2300.0,-259.0,-334.0,-35.0,-4.73,9.76,0.31,-0.13,0.13,-1.69
8.0,-20464.0,256.0,-16316.0,2896.0,-2815.0,-379.0,-503.0,6.0,-808.0,-17720.0,1096.0,-15663.0,2865.0,-4569.0,-259.0,-291.0,-93.0,-8.7,2.95,-0.54,0.16,-1.41,0.0
3616.0,-31464.0,-2608.0,-8183.0,-6076.0,491.0,-382.0,-472.0,3.0,3592.0,-14328.0,-560.0,-7757.0,-7471.0,-3436.0,-266.0,-279.0,-133.0,-1.38,5.52,2.57,-0.5,1.82,2.57
-0.0,-14264.0,-3072.0,-4093.0,65.0,-4096.0,-379.0,-250.0,24.0,-1520.0,-11152.0,-1048.0,-3224.0,-9165.0,-1937.0,-265.0,-242.0,-166.0,-3.83,7.37,0.78,-1.41,-0.19,3.39
2208.0,-15296.0,-7536.0,193.0,1197.0,2049.0,-256.0,-224.0,4.0,-2272.0,-10816.0,-6896.0,-12231.0,-3048.0,-2542.0,-263.0,-228.0,-181.0,-2.69,11.85,0.72,-1.28,0.13,3.38
64.0,-16248.0,-24576.0,578.0,-2045.0,3234.0,-383.0,-208.0,32.0,2632.0,-9824.0,-20728.0,4190.0,-1475.0,-813.0,-251.0,-198.0,-212.0,0.25,8.3,0.39,0.09,-0.43,0.89
1072.0,-28528.0,-15600.0,9.0,8192.0,419.0,-380.0,-215.0,64.0,-3192.0,-14496.0,-5512.0,4382.0,10345.0,966.0,-267.0,-197.0,-192.0,8.42,14.19,8.17,0.21,0.92,-0.17
