Acc_X_1,Acc_Y_1,Acc_Z_1,Gyro_X_1,Gyro_Y_1,Gyro_Z_1,Mag_X_1,Mag_Y_1,Mag_Z_1,Acc_X_2,Acc_Y_2,Acc_Z_2,Gyro_X_2,Gyro_Y_2,Gyro_Z_2,Mag_X_2,Mag_Y_2,Mag_Z_2,Acc_X_3,Acc_Y_3,Acc_Z_3,Gyro_X_3,Gyro_Y_3,Gyro_Z_3
288.0,-32256.0,-4096.0,16.0,-763.0,-249.0,16.0,-249.0,2.0,2720.0,-16000.0,-3656.0,490.0,-354.0,-333.0,-13.0,-255.0,1.0,0.23,9.8,0.54,-0.05,0.05,-0.01
32.0,-16368.0,-3944.0,-156.0,-678.0,274.0,-0.0,-256.0,8.0,2424.0,-16232.0,-3864.0,289.0,-70.0,34.0,-13.0,-250.0,13.0,0.27,9.81,0.54,-0.05,0.04,-0.0
256.0,-16384.0,-3456.0,226.0,-502.0,144.0,8.0,-252.0,4.0,2552.0,-16184.0,-3552.0,42.0,175.0,-529.0,-19.0,-241.0,9.0,0.21,9.78,0.47,-0.04,0.03,0.0
224.0,-16384.0,-4064.0,164.0,76.0,10.0,6.0,-256.0,2.0,2776.0,-15968.0,-3792.0,-238.0,328.0,-123.0,-7.0,-246.0,4.0,0.3,9.82,0.46,-0.04,0.03,0.01
192.0,-16344.0,-3936.0,267.0,32.0,36.0,6.0,-256.0,-0.0,2664.0,-15776.0,-3848.0,702.0,286.0,377.0,-18.0,-252.0,8.0,0.35,9.8,0.46,-0.03,0.02,-0.0
256.0,-16384.0,-4096.0,290.0,512.0,145.0,-0.0,-255.0,-0.0,2680.0,-16096.0,-3832.0,-226.0,-390.0,-392.0,-21.0,-244.0,11.0,0.33,9.82,0.35,0.04,0.09,-0.02
1104.0,-32256.0,-5848.0,77.0,10.0,-925.0,1.0,-237.0,1.0,3272.0,-16328.0,-4144.0,23.0,-1530.0,-584.0,-21.0,-241.0,21.0,0.09,10.07,0.45,0.1,0.24,-0.14
1312.0,-16288.0,-6840.0,1.0,-2032.0,-1888.0,9.0,-247.0,1.0,3080.0,-16144.0,-5176.0,355.0,-1093.0,-2053.0,-23.0,-245.0,10.0,0.21,9.91,0.43,0.1,0.16,-0.21
1040.0,-15872.0,-5568.0,163.0,1352.0,-3312.0,3.0,-256.0,7.0,3512.0,-15456.0,-5672.0,-1999.0,2511.0,91.0,-21.0,-254.0,7.0,0.68,9.72,0.39,0.09,-0.23,-0.28
2840.0,-31856.0,-5120.0,16.0,1378.0,512.0,1.0,-255.0,10.0,4048.0,-15520.0,-4528.0,-3169.0,5571.0,964.0,-18.0,-237.0,-3.0,0.16,9.72,-0.34,0.13,-0.37,-0.47
3432.0,-14312.0,-5432.0,-3381.0,3642.0,386.0,-18.0,-255.0,-22.0,2456.0,-13448.0,-4376.0,-2662.0,3586.0,-303.0,-18.0,-262.0,-15.0,-1.09,9.39,-0.6,0.12,-0.18,-0.55
112.0,-32128.0,-1280.0,64.0,2092.0,220.0,-30.0,-248.0,-124.0,3040.0,-16376.0,-1264.0,-991.0,2177.0,75.0,-6.0,-247.0,-27.0,-2.69,9.82,-0.48,-0.03,-0.05,-0.11
2248.0,-31744.0,-5088.0,25.0,24.0,88.0,-28.0,-252.0,-126.0,3520.0,-15496.0,-5296.0,2599.0,473.0,603.0,-10.0,-245.0,-20.0,-1.2,9.88,-0.9,0.02,-0.32,-0.06
4168.0,-16368.0,16.0,328.0,22.0,624.0,-22.0,-240.0,-160.0,4048.0,-14640.0,-4816.0,1578.0,1298.0,878.0,3.0,-242.0,-20.0,-1.14,9.59,-0.31,0.02,-0.21,-0.19
3904.0,-31232.0,192.0,676.0,2304.0,128.0,-0.0,-244.0,-151.0,4440.0,-14432.0,-4896.0,2958.0,2162.0,1523.0,9.0,-246.0,-11.0,-1.07,9.4,-0.47,0.03,-0.25,-0.4
4896.0,-31232.0,-0.0,9.0,514.0,129.0,-0.0,-256.0,-154.0,4032.0,-15120.0,-3576.0,3269.0,624.0,1262.0,7.0,-236.0,-14.0,-1.58,9.72,-0.55,-0.04,0.07,-0.54
4656.0,-16384.0,200.0,3208.0,596.0,42.0,-0.0,-254.0,-166.0,4984.0,-16392.0,-4120.0,3861.0,1379.0,1849.0,16.0,-218.0,-2.0,-1.98,10.22,-0.42,-0.09,0.04,-0.76
4128.0,-17408.0,264.0,64.0,1626.0,1536.0,1.0,-223.0,-0.0,4704.0,-17648.0,-3528.0,2697.0,2883.0,2089.0,37.0,-225.0,8.0,-3.31,10.45,0.35,-0.05,0.09,-1.02
-7520.0,-20136.0,-3584.0,-0.0,1219.0,266.0,1.0,-217.0,5.0,-2264.0,-18560.0,-2456.0,3.0,6071.0,5406.0,35.0,-217.0,15.0,-5.46,9.15,1.01,-0.14,-0.9,-1.15
2192.0,-32256.0,6352.0,489.0,1582.0,576.0,64.0,-222.0,-168.0,3136.0,-16768.0,6104.0,-1269.0,5106.0,5189.0,72.0,-213.0,-2.0,-5.42,6.48,-0.36,-0.25,-0.62,-0.37
2848.0,-15360.0,-3328.0,360.0,1408.0,256.0,64.0,-223.0,-0.0,1088.0,-15032.0,-408.0,1369.0,-3025.0,146.0,72.0,-206.0,-4.0,-4.97,6.82,-0.41,-0.25,0.38,-0.19
-7472.0,-31184.0,1040.0,1089.0,-3071.0,576.0,72.0,-222.0,9.0,-160.0,-16808.0,1496.0,1091.0,91.0,904.0,75.0,-206.0,9.0,-6.31,7.13,0.12,-0.09,-0.12,-0.22
160.0,-31744.0,432.0,68.0,131.0,22.0,66.0,-202.0,-190.0,-552.0,-16744.0,792.0,-1022.0,-113.0,75.0,77.0,-206.0,11.0,-6.05,7.36,0.33,-0.16,0.03,-0.07
-6112.0,-16368.0,256.0,2312.0,1226.0,41.0,76.0,-210.0,9.0,-24.0,-16736.0,1184.0,559.0,2132.0,1922.0,84.0,-203.0,7.0,-5.37,7.38,0.19,-0.05,-0.24,0.08
8.0,-16384.0,512.0,-678.0,640.0,562.0,64.0,-250.0,-212.0,232.0,-16168.0,448.0,-434.0,814.0,-7.0,84.0,-186.0,-4.0,-5.27,7.68,0.33,-0.06,0.03,0.06
112.0,-17360.0,-1408.0,258.0,-254.0,104.0,66.0,-196.0,5.0,536.0,-16992.0,-176.0,164.0,98.0,24.0,77.0,-201.0,11.0,-4.85,8.5,0.44,-0.09,0.13,0.07
-5872.0,-32240.0,-1800.0,-782.0,408.0,-508.0,82.0,-196.0,8.0,344.0,-16528.0,-808.0,48.0,-830.0,-65.0,78.0,-199.0,1.0,-5.01,7.96,0.24,-0.07,0.1,0.06
192.0,-16048.0,16.0,689.0,264.0,512.0,66.0,-248.0,-198.0,288.0,-16312.0,408.0,580.0,436.0,476.0,83.0,-184.0,-1.0,-5.53,7.52,0.26,-0.04,-0.07,-0.01
