Acc_X_1,Acc_Y_1,Acc_Z_1,Gyro_X_1,Gyro_Y_1,Gyro_Z_1,Mag_X_1,Mag_Y_1,Mag_Z_1,Acc_X_2,Acc_Y_2,Acc_Z_2,Gyro_X_2,Gyro_Y_2,Gyro_Z_2,Mag_X_2,Mag_Y_2,Mag_Z_2,Acc_X_3,Acc_Y_3,Acc_Z_3,Gyro_X_3,Gyro_Y_3,Gyro_Z_3
200.0,-16128.0,8.0,6920.0,-766.0,592.0,-248.0,-256.0,-210.0,6368.0,-16936.0,-3296.0,7869.0,-1254.0,1425.0,-23.0,-212.0,-182.0,-2.13,9.6,-0.35,0.1,0.23,-0.8
896.0,-18432.0,144.0,16.0,-3039.0,2080.0,-223.0,-256.0,-187.0,2616.0,-17328.0,-6648.0,7506.0,-815.0,1486.0,-23.0,-222.0,-170.0,-2.23,11.18,0.53,0.11,-0.01,-1.21
6272.0,-20448.0,32.0,6257.0,17.0,-0.0,-212.0,-252.0,-175.0,5064.0,-18920.0,-13120.0,7870.0,3862.0,3094.0,-16.0,-221.0,-167.0,-0.9,14.01,3.61,0.09,-0.26,-1.88
8.0,-28664.0,-10232.0,-2800.0,6240.0,129.0,-223.0,-254.0,-183.0,3640.0,-18304.0,-6496.0,-9671.0,7074.0,2806.0,-12.0,-231.0,-169.0,-1.98,11.64,0.7,0.06,-0.66,-2.29
2080.0,-22128.0,2472.0,80.0,1328.0,-8168.0,-232.0,-224.0,-216.0,1416.0,-22088.0,3280.0,-19188.0,1746.0,-3954.0,6.0,-210.0,-213.0,-8.96,6.46,-3.32,0.3,-1.23,-0.51
-0.0,-18112.0,896.0,-22443.0,-5872.0,-8120.0,-234.0,-256.0,-256.0,3888.0,-17664.0,4776.0,-19450.0,-6331.0,-9030.0,-2.0,-188.0,-253.0,-3.67,3.37,-0.18,-0.49,1.75,3.05
-2048.0,-12192.0,2432.0,-14335.0,-11642.0,-7637.0,15.0,-192.0,-448.0,-1136.0,-11424.0,3016.0,-14991.0,-7420.0,-6822.0,31.0,-158.0,-272.0,-5.33,4.89,-0.53,-1.31,-0.12,4.18
1088.0,-15800.0,64.0,64.0,-7392.0,-0.0,1.0,-187.0,-448.0,568.0,-11416.0,-3752.0,-16026.0,-11949.0,-4987.0,53.0,-123.0,-298.0,-3.71,12.32,-1.08,-1.65,1.44,4.37
1056.0,-32440.0,-24448.0,48.0,-16303.0,384.0,5.0,-123.0,-456.0,-2608.0,-10328.0,-26416.0,811.0,-4467.0,-3257.0,96.0,-113.0,-258.0,-1.87,7.49,-1.38,0.18,-0.75,1.07
384.0,-23392.0,-8064.0,481.0,-16384.0,-1723.0,24.0,-160.0,-479.0,-6816.0,-15664.0,-7488.0,-3428.0,-9326.0,-24550.0,93.0,-134.0,-271.0,0.34,13.66,8.8,0.08,3.64,-0.81
