Acc_X_1,Acc_Y_1,Acc_Z_1,Gyro_X_1,Gyro_Y_1,Gyro_Z_1,Mag_X_1,Mag_Y_1,Mag_Z_1,Acc_X_2,Acc_Y_2,Acc_Z_2,Gyro_X_2,Gyro_Y_2,Gyro_Z_2,Mag_X_2,Mag_Y_2,Mag_Z_2,Acc_X_3,Acc_Y_3,Acc_Z_3,Gyro_X_3,Gyro_Y_3,Gyro_Z_3
2184.0,-31968.0,-9936.0,-608.0,64.0,390.0,-0.0,-0.0,-0.0,2456.0,-14408.0,-10712.0,-1536.0,4517.0,1047.0,-39.0,-152.0,13.0,-0.62,9.75,1.04,-0.02,-0.57,-0.26
8.0,-16376.0,-10032.0,-2543.0,261.0,521.0,-0.0,-0.0,-0.0,1168.0,-13352.0,-10408.0,-3918.0,6247.0,2256.0,-31.0,-133.0,23.0,-1.3,9.77,1.36,0.26,-1.17,-0.57
544.0,-30640.0,-8960.0,2824.0,17.0,140.0,-0.0,-0.0,-0.0,1768.0,-14904.0,-7776.0,2830.0,9406.0,5174.0,-15.0,-132.0,15.0,-1.04,10.25,0.92,0.47,-1.42,-1.18
48.0,-30448.0,-4072.0,280.0,1164.0,1.0,-0.0,-0.0,-0.0,3480.0,-14816.0,-4904.0,-54.0,3589.0,5155.0,6.0,-116.0,13.0,1.06,10.45,1.2,-0.07,0.22,-0.99
-0.0,-30128.0,-3904.0,4096.0,1217.0,-416.0,-0.0,-0.0,-0.0,10504.0,-14568.0,-4216.0,4064.0,-16695.0,151.0,-10.0,-119.0,17.0,1.49,11.36,-0.12,-1.98,2.01,-0.06
40.0,-29952.0,-3904.0,520.0,1081.0,-6992.0,-0.0,-0.0,-0.0,4648.0,-14504.0,-2464.0,534.0,-27409.0,-2856.0,-21.0,-113.0,33.0,-1.81,9.38,-2.54,-2.31,3.76,0.18
-5920.0,-16128.0,-12288.0,-2368.0,-15903.0,-7615.0,-0.0,-0.0,-0.0,-5992.0,-13776.0,-11360.0,1704.0,-10088.0,-6592.0,-75.0,-120.0,47.0,-4.85,7.58,-0.48,-0.27,0.85,-0.07
-16320.0,-16368.0,-11896.0,784.0,16400.0,1564.0,-0.0,-0.0,-0.0,-14184.0,-15728.0,-10528.0,2559.0,20403.0,3315.0,-75.0,-123.0,31.0,-11.87,8.9,2.2,2.9,-4.01,-0.24
1160.0,-19200.0,256.0,-9037.0,2162.0,2823.0,-0.0,-0.0,-0.0,4240.0,-18680.0,-3008.0,-8139.0,28934.0,6851.0,-25.0,-106.0,20.0,1.99,11.29,6.56,1.45,-2.15,0.09
2104.0,-30336.0,-2240.0,-6140.0,16.0,7710.0,-0.0,-0.0,-0.0,8000.0,-13384.0,-2472.0,-4742.0,1273.0,7759.0,8.0,-96.0,3.0,-2.01,7.9,-2.05,0.11,-0.3,0.05
-0.0,-30592.0,-6712.0,6.0,-7368.0,2081.0,-0.0,-0.0,-0.0,10264.0,-12568.0,-6096.0,749.0,-4075.0,1734.0,12.0,-103.0,14.0,0.12,9.96,-4.6,-0.32,0.34,0.05
10240.0,-15352.0,-7400.0,1284.0,148.0,-7038.0,-0.0,-0.0,-0.0,11640.0,-13424.0,-5632.0,3642.0,-10313.0,-7903.0,-8.0,-109.0,5.0,-0.42,10.38,-4.31,-1.26,2.19,-0.22
2080.0,-16640.0,-4080.0,1153.0,-23243.0,-13804.0,-0.0,-0.0,-0.0,4232.0,-17296.0,-3264.0,1375.0,-21750.0,-13284.0,-20.0,-91.0,13.0,-5.6,8.81,-1.93,-1.73,2.74,-0.38
144.0,-31496.0,-5816.0,2048.0,-21409.0,-12027.0,-0.0,-0.0,-0.0,-5296.0,-15776.0,-4944.0,2357.0,-16669.0,-12213.0,-79.0,-90.0,31.0,-4.41,6.96,2.55,-1.34,2.04,-0.06
-20144.0,-32160.0,192.0,1540.0,-11962.0,-4832.0,-0.0,-0.0,-0.0,-21416.0,-14344.0,-10328.0,2920.0,-5790.0,-856.0,-116.0,-118.0,16.0,-8.19,5.43,6.9,0.33,-0.39,-0.03
-11576.0,-32752.0,-8560.0,-3071.0,1153.0,1027.0,-0.0,-0.0,-0.0,-7880.0,-17952.0,-8776.0,-2572.0,16671.0,10562.0,-94.0,-105.0,16.0,-5.39,9.21,3.61,1.29,-1.64,0.03
1568.0,-32768.0,-2656.0,1200.0,512.0,221.0,-0.0,-0.0,-0.0,864.0,-17128.0,-2984.0,-2549.0,19731.0,12595.0,-50.0,-98.0,23.0,-4.12,8.11,-1.86,1.59,-2.42,0.29
1024.0,-16344.0,-4056.0,-3823.0,16922.0,2049.0,-0.0,-0.0,-0.0,10688.0,-15184.0,-2864.0,-1488.0,15408.0,8713.0,-8.0,-109.0,10.0,-0.28,9.85,-3.66,0.91,-2.15,0.18
13840.0,-29696.0,-7904.0,3072.0,3.0,1042.0,-0.0,-0.0,-0.0,15624.0,-13096.0,-5952.0,2010.0,-6296.0,-937.0,3.0,-101.0,1.0,0.98,10.37,-4.77,-0.55,0.89,-0.06
10240.0,-31104.0,-7808.0,33.0,147.0,-11640.0,-0.0,-0.0,-0.0,10312.0,-15320.0,-5768.0,2453.0,-15677.0,-9965.0,-23.0,-89.0,3.0,-1.6,10.14,-4.49,-1.24,2.35,-0.25
1536.0,-32240.0,-5448.0,48.0,-16342.0,-13303.0,-0.0,-0.0,-0.0,784.0,-17672.0,-5696.0,-134.0,-15953.0,-13147.0,-59.0,-89.0,25.0,-6.06,8.42,-0.73,-1.52,2.1,-0.23
-0.0,-32752.0,8.0,2080.0,-19888.0,-11839.0,-0.0,-0.0,-0.0,-6136.0,-16016.0,-4128.0,4798.0,-17847.0,-8816.0,-92.0,-93.0,14.0,-4.99,6.78,3.65,-1.27,1.66,-0.02
-18416.0,-32504.0,256.0,135.0,-9536.0,-2428.0,-0.0,-0.0,-0.0,-20088.0,-14488.0,-10048.0,3007.0,-7246.0,-293.0,-112.0,-99.0,15.0,-7.85,5.22,6.16,0.18,0.1,0.03
-10096.0,-18944.0,-0.0,-4032.0,832.0,1110.0,-0.0,-0.0,-0.0,-8792.0,-17840.0,-8480.0,-1390.0,18375.0,10915.0,-99.0,-123.0,11.0,-4.56,8.81,3.55,1.36,-2.03,0.08
-0.0,-31488.0,-4096.0,1985.0,265.0,328.0,-0.0,-0.0,-0.0,2224.0,-17176.0,-2040.0,-4452.0,24773.0,13185.0,-54.0,-99.0,10.0,-4.08,8.58,-1.54,1.65,-2.81,0.28
288.0,-18048.0,-3072.0,-5496.0,2628.0,2616.0,-0.0,-0.0,-0.0,6504.0,-16016.0,-2640.0,-4772.0,20586.0,11794.0,-20.0,-96.0,3.0,-3.53,8.86,-4.83,1.57,-2.84,0.35
16904.0,-29632.0,-4024.0,1666.0,312.0,-0.0,-0.0,-0.0,-0.0,18888.0,-13848.0,-5016.0,2124.0,2440.0,3177.0,16.0,-130.0,-21.0,3.89,11.07,-4.02,0.02,-0.5,0.12
12808.0,-16320.0,-8064.0,2050.0,36.0,-7679.0,-0.0,-0.0,-0.0,11880.0,-14032.0,-4744.0,2691.0,-16616.0,-8033.0,6.0,-101.0,-1.0,-1.27,10.26,-5.14,-1.47,2.56,-0.25
264.0,-18432.0,-5568.0,2443.0,-20432.0,-14192.0,-0.0,-0.0,-0.0,1608.0,-18440.0,-4424.0,3232.0,-20640.0,-13502.0,-30.0,-101.0,22.0,-4.27,8.94,-1.5,-1.69,2.54,-0.19
32.0,-16360.0,-4400.0,520.0,-16356.0,-12283.0,-0.0,-0.0,-0.0,-4368.0,-15728.0,-4104.0,3108.0,-17790.0,-10916.0,-69.0,-101.0,20.0,-4.43,7.03,2.45,-1.49,2.06,-0.04
-11128.0,-32768.0,-8056.0,4.0,-11806.0,-6079.0,-0.0,-0.0,-0.0,-12128.0,-15112.0,-8800.0,2743.0,-8298.0,-3174.0,-107.0,-114.0,17.0,-6.03,6.57,5.42,-0.61,0.68,-0.01
-12272.0,-20224.0,-12016.0,-2041.0,786.0,2369.0,-0.0,-0.0,-0.0,-11616.0,-16312.0,-10480.0,983.0,10135.0,8000.0,-104.0,-120.0,21.0,-5.2,9.32,4.16,0.94,-1.78,0.0
32.0,-32640.0,-7040.0,-3924.0,2224.0,2116.0,-0.0,-0.0,-0.0,-1224.0,-15864.0,-4704.0,-2487.0,17959.0,11343.0,-72.0,-108.0,19.0,-4.31,8.79,0.23,1.32,-1.85,0.13
1168.0,-16384.0,-3328.0,-10096.0,1136.0,558.0,-0.0,-0.0,-0.0,3120.0,-14792.0,-4144.0,-7405.0,19339.0,9483.0,-32.0,-91.0,22.0,-4.41,8.27,-2.85,1.35,-2.37,0.22
16992.0,-16240.0,-5952.0,-992.0,10372.0,165.0,-0.0,-0.0,-0.0,17256.0,-14088.0,-5320.0,-1078.0,7066.0,4344.0,-3.0,-109.0,1.0,2.46,11.39,-3.61,0.18,-0.65,0.08
10320.0,-30584.0,-8000.0,1300.0,1040.0,-4080.0,-0.0,-0.0,-0.0,10040.0,-14088.0,-7888.0,861.0,-11186.0,-4622.0,-1.0,-116.0,5.0,-1.28,10.0,-4.69,-0.76,1.44,-0.1
136.0,-16208.0,-6656.0,1664.0,-12192.0,-11252.0,-0.0,-0.0,-0.0,3832.0,-15376.0,-4592.0,2902.0,-12700.0,-9821.0,-23.0,-106.0,17.0,-2.71,8.77,-1.43,-1.15,1.83,-0.15
40.0,-32208.0,-4600.0,36.0,-16332.0,-11184.0,-0.0,-0.0,-0.0,656.0,-17016.0,-5496.0,2439.0,-13140.0,-11603.0,-59.0,-106.0,22.0,-4.4,9.06,1.98,-1.41,1.21,-0.1
32.0,-31728.0,528.0,2372.0,-15344.0,-8160.0,-0.0,-0.0,-0.0,-6680.0,-15384.0,-6768.0,3548.0,-13888.0,-5985.0,-95.0,-116.0,27.0,-4.75,7.66,4.52,-0.81,1.47,0.11
-13904.0,-32768.0,16.0,524.0,-2968.0,529.0,-0.0,-0.0,-0.0,-14312.0,-16168.0,-12472.0,358.0,372.0,2628.0,-104.0,-128.0,23.0,-4.54,7.85,5.72,0.51,-1.02,-0.09
-5792.0,-32512.0,128.0,-3456.0,9.0,260.0,-0.0,-0.0,-0.0,-3824.0,-17016.0,-6928.0,-4591.0,19285.0,9210.0,-77.0,-120.0,21.0,-4.13,8.53,2.16,1.24,-1.66,-0.06
272.0,-32112.0,-3928.0,-3835.0,2730.0,1540.0,-0.0,-0.0,-0.0,2496.0,-14584.0,-312.0,-2560.0,15094.0,9345.0,-42.0,-111.0,17.0,-4.02,7.53,-1.3,1.16,-1.58,0.04
72.0,-32664.0,-6816.0,-1007.0,12292.0,136.0,-0.0,-0.0,-0.0,7616.0,-15000.0,-4232.0,-1839.0,12941.0,10854.0,-19.0,-105.0,4.0,-1.77,9.61,-3.72,1.11,-2.09,0.13
12800.0,-30456.0,-7040.0,224.0,532.0,132.0,-0.0,-0.0,-0.0,15208.0,-14240.0,-7496.0,2446.0,-128.0,41.0,1.0,-119.0,-3.0,1.15,11.58,-3.58,-0.14,0.24,-0.02
12424.0,-32248.0,-6144.0,582.0,34.0,-7772.0,-0.0,-0.0,-0.0,12672.0,-16312.0,-5016.0,1939.0,-13544.0,-8774.0,-8.0,-101.0,-1.0,-0.93,10.51,-4.49,-1.49,2.42,-0.18
56.0,-32248.0,-4032.0,-1948.0,-15048.0,-13783.0,-0.0,-0.0,-0.0,-1448.0,-15808.0,-2816.0,-1011.0,-14285.0,-14194.0,-36.0,-93.0,11.0,-6.69,7.52,-0.12,-1.7,1.39,-0.15
-0.0,-32384.0,64.0,68.0,-22456.0,-11263.0,-0.0,-0.0,-0.0,-2920.0,-16640.0,-5088.0,3045.0,-19341.0,-9472.0,-75.0,-108.0,11.0,-3.18,8.01,4.14,-1.31,2.62,0.26
-18568.0,-32144.0,-11328.0,20.0,-11798.0,-2477.0,-0.0,-0.0,-0.0,-20880.0,-14224.0,-12680.0,932.0,-5475.0,-282.0,-106.0,-125.0,28.0,-6.47,5.84,6.47,0.14,-0.36,-0.02
-6392.0,-30864.0,8.0,-8160.0,1154.0,2105.0,-0.0,-0.0,-0.0,-4752.0,-18920.0,-7704.0,-3811.0,20551.0,9756.0,-89.0,-125.0,26.0,-3.35,8.74,2.76,1.09,-1.75,-0.01
2072.0,-32088.0,-4064.0,-894.0,1024.0,1180.0,-0.0,-0.0,-0.0,584.0,-15664.0,-3072.0,-538.0,17508.0,11513.0,-59.0,-111.0,17.0,-4.45,8.1,-0.97,1.43,-2.21,0.11
1280.0,-31728.0,-3192.0,-3130.0,14914.0,2112.0,-0.0,-0.0,-0.0,6992.0,-15048.0,-4296.0,-3615.0,14610.0,8764.0,-18.0,-101.0,10.0,-3.49,8.95,-4.03,1.34,-1.95,0.18
12560.0,-16384.0,-5856.0,1584.0,25.0,260.0,-0.0,-0.0,-0.0,16000.0,-13504.0,-6224.0,761.0,6553.0,4080.0,9.0,-123.0,-7.0,4.39,11.95,-3.28,0.26,-0.4,0.13
12328.0,-30256.0,-7680.0,836.0,192.0,-6526.0,-0.0,-0.0,-0.0,11296.0,-14176.0,-7152.0,-1079.0,-14117.0,-7862.0,-0.0,-103.0,11.0,-0.92,10.59,-4.09,-1.44,2.37,-0.24
2432.0,-16128.0,-3072.0,18.0,96.0,-16191.0,-0.0,-0.0,-0.0,5816.0,-16552.0,-1024.0,2395.0,-23712.0,-13689.0,-19.0,-105.0,4.0,-3.64,8.51,-1.69,-2.39,3.5,-0.37
544.0,-17400.0,-0.0,4160.0,-23584.0,-16050.0,-0.0,-0.0,-0.0,-4976.0,-16040.0,-4456.0,2386.0,-22371.0,-10371.0,-83.0,-106.0,27.0,-6.27,6.92,1.41,-1.86,2.18,-0.22
-17880.0,-31744.0,448.0,518.0,-13680.0,-0.0,-0.0,-0.0,-0.0,-18104.0,-14688.0,-10752.0,3001.0,-10617.0,-4616.0,-108.0,-123.0,26.0,-8.18,5.18,3.78,0.24,0.69,0.11
-11944.0,-32080.0,-0.0,-6008.0,27.0,2188.0,-0.0,-0.0,-0.0,-11680.0,-17064.0,-9040.0,-2831.0,19197.0,8942.0,-117.0,-132.0,27.0,-2.57,8.04,4.81,1.67,-2.66,0.06
-0.0,-32384.0,-6368.0,49.0,423.0,2500.0,-0.0,-0.0,-0.0,-832.0,-17264.0,-2392.0,-7056.0,29810.0,11794.0,-61.0,-104.0,20.0,-4.55,8.71,-0.25,1.88,-3.04,0.1
2336.0,-32464.0,-3392.0,-3814.0,1568.0,132.0,-0.0,-0.0,-0.0,5384.0,-15352.0,-2072.0,-4414.0,18522.0,9628.0,-26.0,-93.0,11.0,-3.99,8.16,-2.72,1.32,-1.9,0.16
14592.0,-16064.0,-3584.0,80.0,65.0,264.0,-0.0,-0.0,-0.0,15368.0,-13072.0,-3592.0,3113.0,470.0,4020.0,3.0,-111.0,-8.0,1.77,10.54,-3.33,-0.19,-0.67,-0.11
10256.0,-17392.0,-10880.0,560.0,1056.0,-5527.0,-0.0,-0.0,-0.0,9104.0,-15528.0,-9936.0,2629.0,-13216.0,-5229.0,-8.0,-114.0,13.0,-1.77,11.02,-5.06,-0.87,1.54,-0.14
104.0,-31744.0,-4096.0,1673.0,72.0,-11214.0,-0.0,-0.0,-0.0,6904.0,-15760.0,-2960.0,1274.0,-10169.0,-10809.0,-27.0,-104.0,10.0,-2.95,9.82,-1.41,-1.4,2.11,-0.19
72.0,-17848.0,512.0,2208.0,-17270.0,-14205.0,-0.0,-0.0,-0.0,-1672.0,-16736.0,-2296.0,1823.0,-17763.0,-13109.0,-61.0,-99.0,15.0,-5.06,7.34,1.05,-1.7,1.98,-0.08
